,text,sentiment
126167,"Boss says, &quot;shit happens&quot; even in Andhra ( Maoists ). But the cause was big he says. But did #Srilanka #Tamil peopel had voting rights? ",negative
745943,"soo a little baby bird was born in my yard a week ago?, was hopping around in the gardens yesterday &amp; today i cant find him ",negative
129852,@meara76 Eww  bad times! how are you doin for a monday?,negative
1216917,"@ozchickie yups, the whole bing shabam, cleaning system, whirlpool, hydrojets, etc. etc. all manual driven ",positive
957642,Loves being a character from the hundred acre wood ,positive
1299236,"@ForgetMeNotMMU I do that all the time.  Diet coke, 2 hashbrowns please.",positive
503784,isnt goin 2 the mall anymore  but is still gonna have fun 2morrow,negative
766785,@SeanFamoso i wanna be a lazy monster ,negative
984483,says yehey!! I'm done downloading a 900mb documentary movie! gtg... I'll watch this na!  http://plurk.com/p/uiu3u,positive
812100,"I feel well  I listened to my instincts and had a lovely evening at home, even cooked dinner . A very North Star week",positive
730816,@ChantalMatar can't tel if smells - I'm sick  no pain. Started swelling tonight. Just mild. No pain - she eats etc.,negative
427879,@myshuno aahw  no more killing them by taking out the stairs,negative
1462380,Having the weirdest Sunday lunch ever ,positive
697228,"leaving Houston  back to v-town, looking forward to being at the lake the rest of the weekend!",negative
851913,@StoneZoneShow ME TOO!!!! ,positive
6600,Who stol my nick TheHorn?  ,negative
220404,Soo I'm at jamba juice right they scream out my name and I grab the caribbean passion turns out there is another natalie ,negative
1574630,"@cookiemonster82 Good morning to you, kind sir ",positive
879690,Jammin at the campfire  what a jammin day!! http://twitpic.com/4gw6o,positive
555319,Hoping i get a call. Im off to the orthodontist...gah i hate braces ,negative
573079,less than 10mb to go on the iphone os3 download!! getting closer every second but then we also have the upload time to the iphone ,negative
1476696,unpack then short screening  then big dinner then coachella and bonaroo screening tonight.,positive
570286,@ALBEBACK You didnt text me back ,negative
672663,"@highworld unfortunately, no.... ",negative
1037187,@SantiAnimosity haha you no hes sexy!!!! ,positive
376516,I didn't know there could be a dance floor dancing to the cheers theme ,negative
1060323,boys in straw hats who play the ukulele are just amazingly wonderful ,positive
311179,@usul02 Lol! I know. he isnt the right colour though!  he's supposed to be 'russet.',negative
1374387,@Tyler_Shelton thanks for the follow  i appreciate it ...2 more viewers and i go live on blogtv,positive
603547,Hates having no money!!! ,negative
437009,watching X-Men and waiting on Mee Shell to get outta the shower. Mac &amp; Cheese for lunch... no solids yet. I still want a cheeseburger ,negative
635490,"Ahhhh!! Worst news EVER. RIP players  all my chapel hill kids know what I'm talking about. Omg so sad, must go to sleep...",negative
1486466,doin crunches on my bed like connor  ahaha,positive
1585388,@Yoni Tasted wonderful as well  How've you been? Good?,positive
911465,My my I have never watched so many movies in one night with my mommy ,positive
106431,Ah fuck. I'm scared ,negative
1219763,"Ugh, Monday...at least I have new rob pics to ogle on the internet at work. ",positive
1392148,has just booked his Center Parcs activities! Can't wait until August ,positive
42868,@luckyluckster actually I didn't... ,negative
1241036,@pjsherman The question is does anyone need a UX conference?  I say no. We've got to stop talking to ourselves.,positive
476434,Baking fail ,negative
172585,arghh ! i feel like a lobster ! sunburn hurts ,negative
1093388,@BrianMcnugget  http://bit.ly/QgVmt i mean this web ,positive
1202977,"@ElizabethN Hey, was that a jab at the way we spell COLOUR up here in Canada? You know, the right way. http://tr.im/mZEv ",positive
866099,"@hehmorris I had a great time, too...thank you so much...it meant so much to me!! See you at 1PM!! ",positive
53981,wish i was at southend right now ,negative
1515534,back in Pune at last... have a lot of work cut out for the blogs... ,positive
1355905,"had another nap and am feeling lots better! Grabbing a shower, some supper and playing with my son for a bit ",positive
1552948,"@k8mtbc any pics?  I've caught a lot of snakes in my day, but I've never run into a Copperhead around here. They are around though.",positive
915735,just watched what happens in vegas  it was really good,positive
839085,@Alybean I suffer from a very bad case of finger dyslexia sometimes ;-) Hope you're having a great day ,positive
1490922,ive decided i need counceling ! ,positive
177020,@souljaboytellem hell yea its hot here  i miss cali,negative
19761,Fell out way to early; now I can't go back 2 sleep ,negative
1366124,@matisyahu Could you please please sing 'We Will Walk'? Because that's probably the song that I most like in the new record ,positive
694443,my back has been playin up for da past 4 days. hw am i goin 2 cope with skwl  i cn tell nxt weeks goin 2 b a painful one!!!,negative
851848,@OneScrappyGal Is it your anniversary? Have a happy one! ,positive
770543,IT'S BARQ'S ROOT BEER? ALL MY LIFE I'VE BEEN THINKING BANGS.... kind of ambiguous don't you think  http://bit.ly/QCr8n,negative
778823,"Gonna work out with my boyfriend now. I hope he doesn't try to compete with me. Just to let yall know,he's twice my size.  tranDIAMONDS",negative
931048,@problogger another quick Q - will the email part of 31dbbb always be available?  And thanks for the responses to my other questions!,positive
738403,Good morning ya'll! Happy Father's Day!! So tired I slept for 2 and a half hrs and I can't fall back asleep ,negative
1313910,says good afternoon! ,positive
1411567,".@TracyLatz Thanks...If anybody commented on my interview, @LiaraCovert is asleep I believe in Aus, but she will approve them soon ",positive
1294731,@_ashtonclark because they're irrational?? &amp; when we go back we'll be neighborsss ,positive
1523492,my birthday soon ,positive
1381920,woo. Home from work. ,positive
113610,I miss  you.... ,negative
1154054,Finally at home in my own bed and relaxin...missed home ,positive
1280873,"@kathyireland Just mom? That's the greatest job in the world, isn't it? ",positive
687718,They blocked twitter at work ,negative
686778,"ChÃ³ng máº·t, nhá»©c Äáº§u --&gt; ngá»§ váº­y ",negative
1578826,Chase Coy - [Cover] I Will Follow You Into The Dark awww this is sweet ,positive
194681,has a headache ,negative
623670,"Just got in a car accident. I was driving, she rearended me. ",negative
198349,oh no I wanted to order this special colour DSi from japan but just read their region locked  guess a plain black one it is for me.,negative
3833,"I have decided my room needs to be more 'quirky', so Angel gave me a mirror! And my 'a' button isn't working too well either ",negative
969822,Speaking words of wisdom; Let It Be ,positive
1379588,is wishing andrea a safe trip to NY! ,positive
231659,My phone is about to die  forgot my charger,negative
427339,@ninzja HAHAHA awww and you wish you took that recess time off to have gotten to know more of your batchmates but now it's too late  HAHA!,negative
925599,"Wishing a Happy Mother's Day to @LisaCesarano, my mom (who isn't on Twitter) and all moms out there, wherever they may be. ",positive
10274,Anatomy is hard ,negative
375533,wish i was seeing set your goals tonight  friggin poverty,negative
1059030,"@Sandoer Awwww, shucks! Super thanks for the followfriday love! ",positive
1106022,WOOT GRAFITI DAY TODAY  And Peroxyde at 6;30 ,positive
915047,@idreamofjeanny Chowder is the shit!!!!!! ,positive
1569144,@naseemfaqihi Omg! You're frikkin hilarious ,positive
158735,Morning is here again!!! Waaaah ,negative
1395137,"@terrenceisdaman you can have it, and my Tungsten C  #fyl",positive
361938,@LittleMsJacque I'm already having separation anxiety!! Why are you leaving me! It's not fair!!! ,negative
1380654,@lela2000 goodnight ,positive
847563,im currently thinking about my friend in cali.  waah. so excited about sumthing!!,positive
499132,@LaurenConrad same story up in Canada here  it's a lot of suck. haha Hope all is well.,negative
1405570,I won  - seeing it in 3D at the Ziegfeld - 7pm. Tickets bought. @abzzz @deepashah,positive
212921,Why can't I wear heels all day? I always  have to have a pair of flip flops with me ,negative
1413978,getting ready for camp!! aghhh im exciteddd!!!! ,positive
1109945,Good morning!  ,positive
1312891,"So fresh and so clean, clean. Night world. ",positive
499116,"@ickypants No telling. I'm crossing my fingers, I miss you tragically. ",negative
1130456,@rich_rocks Clearly well enough to come back to work then ,positive
358504,my wife @lvnkeith is gone for the weekend...wont be back until sunday night. sad face ,negative
826735,"article done, now just for editing, my favorite part ",positive
1294831,http://twitpic.com/6gonw - @daniellebabeyy photography. Mon's 21st birthday. This was deliciousss ,positive
663737,at home doing nothin wishing i coud tlk to my BFF but shes at camp ,negative
610260,"ack, 14 pages away from being done w/Models Don't Eat Chocolate and at work now. Want to finish but our big manager is sitting across me ",negative
474726,"ehh - car repairs are so expensive. Have to get front calibers, rotors and pads replaced. Over $600.00 ",negative
761734,Work is dead today! ,negative
407687,Just woke up. Gonna start studying soon. I miss having the time to be lazy ,negative
252426,At work ,negative
340520,rain =  ...essay due in a couple hours = double ,negative
342740,isPlayer Has Died! Sorry ,negative
1053274,Android Progress: Finally manage to serve the user's will... or maybe NOT ,positive
307326,@memelaroo Ya'll meetin' up?  Who's there???,negative
324152,@Fernosaur :O Your poor mom      Tell her I want to come to Mexico and nurse her back to health.,negative
1445194,"love your bracelet , necklace , shoes , dress . okay, everything ,  hyped http://lookbook.nu/look/160661",positive
1279819,and straighten it  yay!,positive
1282949,it`s cold outside today.... want to go shopping ,positive
610121,"owie, vaccine shot for work ",negative
486721,@sarabrooke I miss you too  I wish I wasn't poor so we could hang out,negative
103599,pretty upset that i'm not on the NKOTB cruise!!! ,negative
339514,Sam was fussy leading the wife to go out on the couch w/ him. Mia in turn woke up wanting water. Now i'm awake but she went back to sleep ,negative
1502127,@smartcarleen Gotta love the STL.. Have fun up in Minneapolis. No wrong turns this time ,positive
635674,I have such a headache ,negative
1143613,@GrabeelLucas I thought u were done with chatzy.  ,positive
1111444,trying to finish a book I started months ago. ,positive
291999,I tried to get up and goose bit me  no final fantasy for me.,negative
156672,@socalsangels hey we still gotta meet up... too bad i'm still sick ,negative
1571025,"damnn im jus chillin rite now man with my brother and my man fllyod, , ballin all day and ohh yeaa lakers won KOBE you did it  peace love",positive
598682,sitting on the couch watching Fox with a torn ligament  not cool,negative
1279420,War is over back to work ,positive
1148772,@beausk8 Wow!  I did? ,positive
56277,"@upxfromxbelow lol. I'm so tired, but I can't sleep...  does that make any sense at all?",negative
1441635,@jordddz i went yesterdayy hmm we should meet up ,positive
883949,"The top 5 words I've tweeted: twitpic, day, love, know, happy.  I have 9 twooshes (140 character tweets). http://tweetstats.com",positive
1031203,@BikePure Just put in my order for a BikePure jersey ,positive
103504,just got an email about a &quot;surprise&quot; Theory sample sale.  Yep...I know I shouldn't...but I'm going anyway. lol. Just to &quot;look&quot;...,negative
1080743,Had the best day today. Tomorrow will only be better.  Staying with Amber tonight.,positive
273511,@ellie_bites I bought the wrong DLSR too. Olympus don't have a F1.4 lens ,negative
142036,my mum just bought these Converse... I want them ,negative
916902,"@titletrakk gee, thanks ",positive
